INFO:neural_network:Initializing NeuralNetwork with layer_sizes=(784, 100, 100, 10)
INFO:neural_network:L2 regularization enabled with alpha=0.0001
INFO:neural_network:NeuralNetwork initialized successfully with 89,610 parameters
INFO:neural_network:Starting training: 60000 samples, 784 features, 10 classes
INFO:neural_network:Training configuration: batch_size=200, max_epochs=200, early_stopping_patience=25
INFO:neural_network:Validation data provided: 10000 samples
INFO:neural_network:  -> Validation accuracy: 0.5700
INFO:neural_network:Epoch 4, Batch 0: loss=1.665699
INFO:neural_network:Epoch 4, Batch 10: loss=1.672541
INFO:neural_network:Epoch 4, Batch 20: loss=1.673659
INFO:neural_network:Epoch 4, Batch 30: loss=1.653004
INFO:neural_network:Epoch 4, Batch 40: loss=1.706431
INFO:neural_network:Epoch 4, Batch 50: loss=1.678815
INFO:neural_network:Epoch 4, Batch 60: loss=1.649926
INFO:neural_network:Epoch 4, Batch 70: loss=1.632702
INFO:neural_network:Epoch 4, Batch 80: loss=1.628119
INFO:neural_network:Epoch 4, Batch 90: loss=1.645675
INFO:neural_network:Epoch 4, Batch 100: loss=1.594671
INFO:neural_network:Epoch 4, Batch 110: loss=1.677138
INFO:neural_network:Epoch 4, Batch 120: loss=1.615623
INFO:neural_network:Epoch 4, Batch 130: loss=1.641651
INFO:neural_network:Epoch 4, Batch 140: loss=1.577474
INFO:neural_network:Epoch 4, Batch 150: loss=1.593320
INFO:neural_network:Epoch 4, Batch 160: loss=1.552676
INFO:neural_network:Epoch 4, Batch 170: loss=1.567475
INFO:neural_network:Epoch 4, Batch 180: loss=1.599387
INFO:neural_network:Epoch 4, Batch 190: loss=1.590448
INFO:neural_network:Epoch 4, Batch 200: loss=1.570635
INFO:neural_network:Epoch 4, Batch 210: loss=1.486776
INFO:neural_network:Epoch 4, Batch 220: loss=1.478999
INFO:neural_network:Epoch 4, Batch 230: loss=1.508772
INFO:neural_network:Epoch 4, Batch 240: loss=1.498230
INFO:neural_network:Epoch 4, Batch 250: loss=1.524819
INFO:neural_network:Epoch 4, Batch 260: loss=1.481467
INFO:neural_network:Epoch 4, Batch 270: loss=1.455233
INFO:neural_network:Epoch 4, Batch 280: loss=1.514901
INFO:neural_network:Epoch 4, Batch 290: loss=1.475221
INFO:neural_network:Epoch    4/200: train_loss=1.493244 (batch_avg=1.594446), lr=0.001
INFO:neural_network:Accuracy: 0.7200 (72/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.7200
INFO:neural_network:Epoch 5, Batch 0: loss=1.490348
INFO:neural_network:Epoch 5, Batch 10: loss=1.513391
INFO:neural_network:Epoch 5, Batch 20: loss=1.481235
INFO:neural_network:Epoch 5, Batch 30: loss=1.435038
INFO:neural_network:Epoch 5, Batch 40: loss=1.443533
